,column,dtype,non-null,descr
0,regNum,object,1556,Идентификационный номер контракта
1,currentContractStage,object,1556,Код текущего статуса контракта
2,signDate,object,1556,Дата подписания контракта
3,startDate,object,1556,Дата начала действия контракта
4,endDate,object,927,Дата окончания действия контракта
5,regionCode,object,1556,Код региона заказчика
6,fz,object,1556,Номер федерального закона
7,currencyCode,object,1556,Код валюты контракта
8,contractPrice,float64,1556,Общая цена контракта
9,sup_name,object,1556,Название организаций-поставщиков
10,sup_inn,object,1556,ИНН организации-поставщика
11,sup_type,object,1556,Тип организации-поставщика
12,OKPD2,object,718,Код ОКПД2 (с 2014 г.)
13,OKPD,object,275,Код ОКПД (до 2014 г.)
14,prodPrice,float64,1556,Стоимость 1 ед. продукта
15,prodQuantity,float64,1500,Количество ед. продукта
16,prodSum,float64,1495,Сумма закупки данного продукта (цена * количество)
