,name,site,inn
0,МойОфис (ООО «Новые облачные технологии»),http://myoffice.ru/,7703807270
1,ООО «Открытая мобильная платформа»,http://omp.ru/,1615012605
2,ООО «ДжиДиСи Сервисез»,http://icl-services.com/,
3,ООО «АйСиЭл Техно»,http://icl-techno.ru/,1624014670
4,ООО «АйСиЭл Софт»,http://www.icl.ru/,1624016042
5,ООО «Рэдмэдробот Инновации»,http://redmadrobot.ru/,1615013662
6,ООО «К-Проекты»,http://k-projects.ru/,1615013359
7,ООО «Когнитив-платформа»,http://www.cognitive.ru/,
8,ООО «Зарница-Инновации»,http://www.zarnitza.ru,
9,ООО «ИнфоВотч-Волга»,http://www.infowatch.ru/,1615012838
10,ООО «АнП Воркселл»,http://www.mcst.ru/elbrus_os,1615013020
11,ООО «СКБ «Инфоматика»,http://infomatika.ru/,1615013334
12,ООО «Юнителлер-РТИ»,http://www.uniteller.ru/,1615013165
13,ООО «АйСиЭл Системные Технологии»,http://www.icl.ru/,1615012203
14,ООО «Визиолоджи Технологии»,http://ru.visiology.su/,1615012997
15,ООО «Индасофт Инновации»,http://indusoft.ru,1615013380
16,ООО «КОМЗ-Измерения»,http://komztest.ru/,1655376609
17,ООО «Риэль Цифровые Технологии»,http://reell-engineering.ru/about/,1650365272
18,ООО «ИВКС»,http://iva-tech.ru,1615013655
19,ООО «Лемон Технолоджис Груп»,http://lemontg.ru,1615013126
